CLIENTNUM;Customer_Age;Gender;Marital_Status;Education_Level;Income_Category;Card_Category;Credit_Limit;Total_Revolving_Bal;Avg_Utilization_Ratio
58;40;M;Unknown;Divorced;$40K - $60K;Gold;23981;1788;0.075
59;60;F;Uneducated;Divorced;$40K - $60K;Blue;2070;0;0
60;54;F;Unknown;Divorced;$40K - $60K;Blue;5476;2517;0.46
61;34;F;Graduate;Divorced;$40K - $60K;Blue;3038;1539;0.507
62;36;M;High School;Divorced;$40K - $60K;Blue;2686;1733;0.645
63;45;M;Graduate;Divorced;$40K - $60K;Blue;2259;954;0.422
64;60;M;Unknown;Divorced;$40K - $60K;Blue;3012;0;0
65;29;M;Graduate;Divorced;$40K - $60K;Silver;15578;1383;0.089
66;57;F;Unknown;Divorced;$40K - $60K;Blue;3251;1887;0.58
67;42;M;Graduate;Divorced;$40K - $60K;Blue;3178;1800;0.566
68;54;M;Uneducated;Divorced;$40K - $60K;Blue;6387;1597;0.25
69;49;F;Uneducated;Divorced;$40K - $60K;Blue;5238;1365;0.261
70;36;F;Uneducated;Divorced;$40K - $60K;Blue;2190;0;0
71;36;M;Graduate;Divorced;$40K - $60K;Blue;8995;1547;0.172
72;26;M;College;Divorced;$40K - $60K;Blue;1438.3;0;0
73;48;M;College;Divorced;$40K - $60K;Blue;12159;1665;0.137
74;36;F;Unknown;Divorced;$40K - $60K;Blue;9735;1245;0.128
75;39;M;College;Divorced;$40K - $60K;Blue;2503;2185;0.873
76;30;M;College;Divorced;$40K - $60K;Blue;3143;1075;0.342
77;37;M;High School;Divorced;$40K - $60K;Blue;3091;0;0
78;50;F;Graduate;Divorced;$40K - $60K;Blue;8307;2517;0.303
79;31;M;Uneducated;Divorced;$40K - $60K;Blue;2621;1461;0.557
80;37;M;Graduate;Divorced;$40K - $60K;Blue;3176;0;0
81;48;F;College;Divorced;$40K - $60K;Blue;4365;0;0
82;45;M;College;Divorced;$40K - $60K;Blue;10991;1328;0.121
83;44;F;College;Divorced;$40K - $60K;Blue;4513;1950;0.432
84;47;M;College;Divorced;$40K - $60K;Blue;5570;1858;0.334
85;37;F;High School;Divorced;$40K - $60K;Blue;2563;1638;0.639
86;37;M;College;Divorced;$40K - $60K;Blue;8120;2098;0.258
87;51;M;Graduate;Divorced;$40K - $60K;Blue;7570;1388;0.183
88;43;M;Doctorate;Divorced;$40K - $60K;Blue;2243;0;0
89;53;F;Uneducated;Divorced;$40K - $60K;Silver;15248;1242;0.081
90;48;M;Unknown;Divorced;$40K - $60K;Blue;2708;2517;0.929
91;50;M;High School;Divorced;$40K - $60K;Blue;5530;2034;0.368
92;44;F;Uneducated;Divorced;$40K - $60K;Blue;5608;1243;0.222
93;45;M;Graduate;Divorced;$40K - $60K;Blue;9569;0;0
94;49;M;College;Divorced;$40K - $60K;Blue;1922;710;0.369
95;54;F;Graduate;Divorced;$40K - $60K;Blue;4948;0;0
96;56;M;Uneducated;Divorced;$40K - $60K;Blue;6331;1420;0.224
97;41;M;Graduate;Divorced;$40K - $60K;Blue;2334;1138;0.488
98;38;M;Unknown;Divorced;$40K - $60K;Blue;11209;1165;0.104
99;49;M;High School;Divorced;$40K - $60K;Blue;14839;512;0.035
100;35;M;High School;Divorced;$40K - $60K;Blue;5619;1504;0.268
101;62;F;Graduate;Divorced;$40K - $60K;Blue;11352;2517;0.222
102;45;F;High School;Divorced;$40K - $60K;Blue;4701;1170;0.249
103;45;M;Unknown;Divorced;$40K - $60K;Silver;17437;2225;0.128
104;55;F;Uneducated;Divorced;$40K - $60K;Blue;1965;1525;0.776
105;37;F;Graduate;Divorced;$40K - $60K;Blue;1920;0;0
106;41;F;High School;Divorced;$40K - $60K;Blue;4650;204;0.044
107;49;F;High School;Divorced;$40K - $60K;Blue;7231;2517;0.348
108;42;F;Graduate;Divorced;$40K - $60K;Blue;2468;1850;0.75
109;41;F;Graduate;Divorced;$40K - $60K;Blue;10360;2517;0.243
110;37;M;Graduate;Divorced;$40K - $60K;Blue;5987;1405;0.235
111;47;M;Unknown;Divorced;$40K - $60K;Blue;4907;773;0.158
112;47;F;Post-Graduate;Divorced;$40K - $60K;Blue;5624;1216;0.216
113;40;F;Uneducated;Divorced;$40K - $60K;Blue;6608;2270;0.344
114;47;F;Uneducated;Divorced;$40K - $60K;Blue;5869;2517;0.429
115;40;F;High School;Divorced;$40K - $60K;Blue;4464;1418;0.318
116;48;F;Doctorate;Divorced;$40K - $60K;Blue;3646;1047;0.287
117;40;M;High School;Divorced;$40K - $60K;Blue;2430;974;0.401
118;49;F;Graduate;Divorced;$40K - $60K;Blue;2920;0;0
119;43;F;High School;Divorced;$40K - $60K;Blue;6034;1579;0.262
120;50;M;Post-Graduate;Divorced;$40K - $60K;Blue;3525;0;0
121;40;M;Graduate;Divorced;$40K - $60K;Blue;5821;894;0.154
122;48;F;Graduate;Divorced;$40K - $60K;Blue;3503;1572;0.449
123;49;F;High School;Divorced;$40K - $60K;Blue;3054;845;0.277
124;53;F;Graduate;Divorced;$40K - $60K;Blue;3369;2424;0.72
125;39;F;High School;Divorced;$40K - $60K;Blue;3400;2307;0.679
126;48;F;High School;Divorced;$40K - $60K;Blue;2405;1410;0.586
127;46;F;College;Divorced;$40K - $60K;Blue;3276;1915;0.585
128;55;F;College;Divorced;$40K - $60K;Blue;4410;2517;0.571
129;45;F;College;Divorced;$40K - $60K;Blue;1438.3;0;0
130;52;M;Uneducated;Divorced;$40K - $60K;Blue;1438.3;0;0
131;45;F;Doctorate;Divorced;$40K - $60K;Blue;2788;1826;0.655
132;62;M;Graduate;Divorced;$40K - $60K;Blue;4049;0;0
133;44;F;Unknown;Divorced;$40K - $60K;Blue;1689;0;0
134;46;F;Graduate;Divorced;$40K - $60K;Blue;2477;1480;0.597
135;46;M;Graduate;Divorced;$40K - $60K;Blue;10931;2297;0.21
136;50;F;Post-Graduate;Divorced;$40K - $60K;Blue;3028;1339;0.442
137;60;F;Uneducated;Divorced;$40K - $60K;Blue;2802;2517;0.898
138;56;F;Unknown;Divorced;$40K - $60K;Blue;5084;1683;0.331
139;49;F;Post-Graduate;Divorced;$40K - $60K;Blue;2597;1871;0.72
140;41;F;Graduate;Divorced;$40K - $60K;Blue;1919;867;0.452
141;45;F;College;Divorced;$40K - $60K;Blue;2901;2384;0.822
142;42;M;Doctorate;Divorced;$40K - $60K;Blue;2012;0;0
143;33;M;High School;Divorced;$40K - $60K;Blue;2507;1592;0.635
144;49;F;Uneducated;Divorced;$40K - $60K;Blue;2173;0;0
145;51;F;College;Divorced;$40K - $60K;Blue;2768;1329;0.48
146;55;F;Uneducated;Divorced;$40K - $60K;Blue;2697;1863;0.691
147;45;F;Graduate;Divorced;$40K - $60K;Blue;1477;0;0
148;47;M;Doctorate;Divorced;$40K - $60K;Blue;4786;1516;0.317
149;45;F;College;Divorced;$40K - $60K;Blue;3076;0;0
150;44;F;Graduate;Divorced;$40K - $60K;Blue;4269;1852;0.434
151;40;F;Uneducated;Divorced;$40K - $60K;Blue;1956;958;0.49
152;49;F;Graduate;Divorced;$40K - $60K;Blue;1438.3;0;0
153;42;F;College;Divorced;$40K - $60K;Blue;3734;2517;0.674
154;46;F;Uneducated;Divorced;$40K - $60K;Blue;3157;965;0.306
155;45;F;Unknown;Divorced;$40K - $60K;Blue;2032;1195;0.588
156;45;M;College;Divorced;$40K - $60K;Blue;2449;0;0
157;47;F;Graduate;Divorced;$40K - $60K;Blue;1438.3;601;0.418
158;41;F;Graduate;Divorced;$40K - $60K;Blue;9294;1764;0.19
159;58;F;Unknown;Divorced;$40K - $60K;Blue;2295;0;0
160;49;M;College;Divorced;$40K - $60K;Blue;2181;1218;0.558
161;47;F;Post-Graduate;Divorced;$40K - $60K;Blue;2725;1851;0.679
162;47;F;Uneducated;Divorced;$40K - $60K;Blue;1439;0;0
163;45;F;Unknown;Divorced;$40K - $60K;Blue;1438.3;0;0
164;49;F;Graduate;Divorced;$40K - $60K;Blue;2485;1648;0.663
165;57;F;Graduate;Divorced;$40K - $60K;Blue;4262;2517;0.591
166;48;M;Graduate;Divorced;$40K - $60K;Blue;9104;145;0.016
167;40;F;College;Divorced;$40K - $60K;Blue;9243;2019;0.218
168;46;M;High School;Divorced;$40K - $60K;Silver;15034;1356;0.09
169;44;F;Graduate;Divorced;$40K - $60K;Blue;3107;1995;0.642
170;40;M;High School;Divorced;$40K - $60K;Blue;7566;1618;0.214
171;46;M;Graduate;Divorced;$40K - $60K;Blue;11343;1175;0.104
172;45;F;High School;Divorced;$40K - $60K;Silver;18000;1829;0.102
173;39;M;Graduate;Divorced;$40K - $60K;Silver;17894;304;0.017
174;45;F;Uneducated;Divorced;$40K - $60K;Blue;3670;1684;0.459
175;47;F;College;Divorced;$40K - $60K;Blue;6443;2073;0.322
176;48;F;Uneducated;Divorced;$40K - $60K;Silver;21754;0;0
177;45;F;Uneducated;Divorced;$40K - $60K;Silver;15785;1174;0.074
178;60;M;High School;Divorced;$40K - $60K;Blue;9369;1813;0.194
179;32;M;Graduate;Divorced;$40K - $60K;Blue;7473;1253;0.168
180;49;M;High School;Divorced;$40K - $60K;Blue;3308;2150;0.65
181;31;M;High School;Divorced;$40K - $60K;Silver;15504;1277;0.082
182;44;M;Graduate;Divorced;$40K - $60K;Blue;3575;0;0
183;52;F;College;Divorced;$40K - $60K;Gold;23981;2114;0.088
184;57;F;Doctorate;Divorced;$40K - $60K;Blue;4288;1678;0.391
185;53;F;High School;Divorced;$40K - $60K;Blue;10948;482;0.044
186;45;F;Uneducated;Divorced;$40K - $60K;Blue;4209;1300;0.309
187;32;M;Graduate;Divorced;$40K - $60K;Blue;3657;1135;0.31
188;48;M;Uneducated;Divorced;$40K - $60K;Blue;11427;2307;0.202
189;41;F;Graduate;Divorced;$40K - $60K;Blue;5654;2470;0.437
190;41;M;Unknown;Divorced;$40K - $60K;Blue;4277;2186;0.511
191;47;M;Doctorate;Divorced;$60K - $80K;Blue;20979;1800;0.086
192;39;M;High School;Divorced;$60K - $80K;Blue;5926;1251;0.211
193;49;M;Graduate;Divorced;$60K - $80K;Blue;2536;1823;0.719
194;42;M;High School;Divorced;$60K - $80K;Blue;3263;1674;0.513
195;53;M;High School;Divorced;$60K - $80K;Blue;7753;2100;0.271
196;45;M;College;Divorced;$60K - $80K;Blue;10408;1186;0.114
197;40;M;Uneducated;Divorced;$60K - $80K;Blue;23603;0;0
198;47;M;Post-Graduate;Divorced;$60K - $80K;Blue;5731;1577;0.275
199;55;M;High School;Divorced;$60K - $80K;Blue;9734;0;0
200;40;M;Doctorate;Divorced;$60K - $80K;Blue;23138;1727;0.075
201;42;M;Uneducated;Divorced;$60K - $80K;Blue;5504;0;0
202;44;M;Unknown;Divorced;$60K - $80K;Blue;7788;0;0
203;46;M;Uneducated;Divorced;$60K - $80K;Blue;11501;713;0.062
204;43;M;Unknown;Divorced;$60K - $80K;Blue;2588;1669;0.645
205;55;M;Uneducated;Divorced;$60K - $80K;Blue;10127;1873;0.185
206;49;M;Graduate;Divorced;$60K - $80K;Blue;4596;0;0
207;46;M;Uneducated;Divorced;$60K - $80K;Blue;17196;1646;0.096
208;48;M;Graduate;Divorced;$60K - $80K;Blue;2998;1789;0.597
209;45;M;Graduate;Divorced;$60K - $80K;Blue;6784;891;0.131
210;31;M;Graduate;Divorced;$60K - $80K;Blue;8673;0;0
211;57;M;Unknown;Divorced;$60K - $80K;Blue;24589;1640;0.067
212;38;M;Unknown;Divorced;$60K - $80K;Silver;26437;681;0.026
213;45;M;Graduate;Divorced;$60K - $80K;Blue;3291;1607;0.488
214;31;M;Graduate;Divorced;$60K - $80K;Blue;4232;2092;0.494
215;32;M;High School;Divorced;$60K - $80K;Blue;12616;0;0
216;50;M;Unknown;Divorced;$60K - $80K;Blue;2966;1433;0.483
217;30;M;Graduate;Divorced;$60K - $80K;Blue;6476;0;0
218;32;M;High School;Divorced;$60K - $80K;Blue;2239;1338;0.598
219;33;M;Graduate;Divorced;$60K - $80K;Blue;20791;0;0
220;46;M;Unknown;Divorced;$60K - $80K;Blue;2695;1657;0.615
221;50;M;Uneducated;Divorced;$60K - $80K;Blue;9474;1021;0.108
222;44;M;High School;Divorced;$60K - $80K;Blue;22919;1368;0.06
223;39;M;Graduate;Divorced;$60K - $80K;Blue;2267;0;0
224;56;M;Uneducated;Divorced;$60K - $80K;Blue;7261;1079;0.149
225;45;M;High School;Divorced;$60K - $80K;Blue;17576;0;0
226;44;M;Uneducated;Divorced;$60K - $80K;Blue;16034;1597;0.1
227;33;M;Graduate;Divorced;$60K - $80K;Blue;24149;1848;0.077
228;47;M;Unknown;Divorced;$60K - $80K;Silver;29812;2031;0.068
229;50;M;Doctorate;Divorced;$60K - $80K;Blue;19939;0;0
230;40;M;Graduate;Divorced;$60K - $80K;Blue;8624;0;0
231;45;M;Uneducated;Divorced;$60K - $80K;Blue;21721;1247;0.057
232;45;M;Uneducated;Divorced;$60K - $80K;Silver;31756;1459;0.046
233;40;M;College;Divorced;$60K - $80K;Blue;19666;1180;0.06
234;58;M;Unknown;Divorced;$60K - $80K;Blue;1490;1069;0.717
235;50;M;Graduate;Divorced;$60K - $80K;Blue;7050;1008;0.143
236;50;M;College;Divorced;$60K - $80K;Blue;13911;2160;0.155
237;42;M;Uneducated;Divorced;$60K - $80K;Blue;18570;1892;0.102
238;53;M;Uneducated;Divorced;$60K - $80K;Blue;13513;1495;0.111
239;45;M;Graduate;Divorced;$60K - $80K;Blue;5065;1362;0.269
240;48;M;College;Divorced;$60K - $80K;Blue;13233;1106;0.084
241;40;M;High School;Divorced;$60K - $80K;Blue;2978;0;0
242;48;M;Post-Graduate;Divorced;$60K - $80K;Blue;6243;1331;0.213
243;41;M;Uneducated;Divorced;$60K - $80K;Silver;33771;0;0
244;58;M;Unknown;Divorced;$60K - $80K;Blue;20410;1196;0.059
245;47;M;High School;Divorced;$60K - $80K;Blue;1943;1654;0.851
246;50;M;Unknown;Divorced;$60K - $80K;Blue;5444;2499;0.459
247;51;M;Graduate;Divorced;$60K - $80K;Blue;1959;0;0
248;61;M;High School;Divorced;$60K - $80K;Blue;5852;1935;0.331
249;45;M;Graduate;Divorced;$60K - $80K;Blue;19629;0;0
250;48;M;Unknown;Divorced;$60K - $80K;Blue;1438.3;0;0
251;40;M;Graduate;Divorced;$60K - $80K;Blue;3099;0;0
252;48;M;Post-Graduate;Divorced;$60K - $80K;Blue;2648;0;0
253;43;M;Graduate;Divorced;$60K - $80K;Blue;1783;1014;0.569
254;50;M;Post-Graduate;Divorced;$60K - $80K;Blue;14409;511;0.035
255;44;M;Uneducated;Divorced;$60K - $80K;Blue;3650;1270;0.348
256;45;M;Post-Graduate;Divorced;$60K - $80K;Blue;2751;2432;0.884
257;48;M;Graduate;Divorced;$60K - $80K;Blue;11062;0;0
258;44;M;Graduate;Divorced;$60K - $80K;Blue;3290;0;0
259;50;M;Graduate;Divorced;$60K - $80K;Blue;6362;1709;0.269
260;43;M;Post-Graduate;Divorced;$60K - $80K;Blue;5427;2177;0.401
261;48;M;Post-Graduate;Divorced;$60K - $80K;Blue;11596;1258;0.108
262;44;M;Graduate;Divorced;$60K - $80K;Blue;6538;0;0
263;41;M;College;Divorced;$60K - $80K;Blue;2001;0;0
264;46;M;Unknown;Divorced;$60K - $80K;Blue;1438.3;738;0.513
265;41;M;Graduate;Divorced;$60K - $80K;Blue;5784;0;0
266;46;M;Graduate;Divorced;$60K - $80K;Blue;3299;870;0.264
267;62;M;Post-Graduate;Divorced;$60K - $80K;Silver;28229;287;0.01
268;44;M;Graduate;Divorced;$60K - $80K;Blue;11651;1368;0.117
269;47;M;Graduate;Divorced;$60K - $80K;Blue;4786;1553;0.324
270;58;M;High School;Divorced;$60K - $80K;Blue;2467;1176;0.477
271;46;M;Graduate;Divorced;$60K - $80K;Blue;5397;2336;0.433
272;40;M;Unknown;Divorced;$60K - $80K;Blue;5051;0;0
273;47;M;High School;Divorced;$60K - $80K;Blue;1983;989;0.499
274;42;M;Uneducated;Divorced;$60K - $80K;Blue;2289;1195;0.522
275;41;M;High School;Divorced;$60K - $80K;Blue;20749;2171;0.105
276;44;M;Uneducated;Divorced;$60K - $80K;Blue;16553;0;0
277;47;M;Uneducated;Divorced;$60K - $80K;Blue;1943;0;0
278;40;M;College;Divorced;$60K - $80K;Blue;20304;0;0
279;52;M;Graduate;Divorced;$60K - $80K;Blue;4813;0;0
280;57;M;Post-Graduate;Divorced;$60K - $80K;Blue;5479;1200;0.219
281;45;M;Graduate;Divorced;$60K - $80K;Silver;34516;1509;0.044
282;40;M;Uneducated;Divorced;$60K - $80K;Blue;24499;2517;0.103
283;44;M;Graduate;Divorced;$60K - $80K;Silver;34516;1652;0.048
284;41;M;High School;Divorced;$60K - $80K;Blue;4549;2109;0.464
285;62;M;Graduate;Divorced;$60K - $80K;Blue;6103;2517;0.412
286;46;M;College;Divorced;$60K - $80K;Blue;10074;1223;0.121
287;52;M;High School;Divorced;$60K - $80K;Blue;7261;1443;0.199
288;46;M;Graduate;Divorced;$60K - $80K;Blue;7064;1234;0.175
289;40;M;Unknown;Divorced;$60K - $80K;Blue;20466;1138;0.056
290;29;M;Post-Graduate;Divorced;$60K - $80K;Blue;8022;0;0
291;47;M;Post-Graduate;Divorced;$60K - $80K;Blue;20237;1593;0.079
292;48;M;Graduate;Divorced;$60K - $80K;Silver;25217;1754;0.07
293;52;M;Post-Graduate;Divorced;$60K - $80K;Blue;3388;2517;0.743
294;43;M;Graduate;Divorced;$60K - $80K;Blue;5479;1183;0.216
295;56;M;Graduate;Divorced;$60K - $80K;Blue;6224;0;0
296;38;M;High School;Divorced;$60K - $80K;Silver;26794;821;0.031
297;40;M;High School;Divorced;$60K - $80K;Blue;16268;2517;0.155
298;27;M;High School;Divorced;$60K - $80K;Blue;13303;2517;0.189
299;53;M;Graduate;Divorced;$80K - $120K;Blue;34516;1219;0.035
300;44;M;Post-Graduate;Divorced;$80K - $120K;Blue;17965;1644;0.092
301;47;M;Uneducated;Divorced;$80K - $120K;Blue;17682;2481;0.14
302;48;M;Unknown;Divorced;$80K - $120K;Blue;3131;2517;0.804
303;46;M;Uneducated;Divorced;$80K - $120K;Blue;34516;1597;0.046
304;50;M;Graduate;Divorced;$80K - $120K;Blue;34516;1542;0.045
305;46;M;Graduate;Divorced;$80K - $120K;Blue;8475;1385;0.163
306;46;M;Unknown;Divorced;$80K - $120K;Blue;2770;1286;0.464
307;50;M;Unknown;Divorced;$80K - $120K;Blue;20614;0;0
308;40;M;Graduate;Divorced;$80K - $120K;Blue;1925;0;0
309;46;M;Graduate;Divorced;$80K - $120K;Blue;3673;2292;0.624
310;34;M;Graduate;Divorced;$80K - $120K;Blue;4670;0;0
311;43;M;High School;Divorced;$80K - $120K;Blue;34516;1075;0.031
312;32;M;College;Divorced;$80K - $120K;Blue;34516;0;0
313;43;M;High School;Divorced;$80K - $120K;Blue;3083;1898;0.616
314;56;M;College;Divorced;$80K - $120K;Blue;34516;1477;0.043
315;32;M;Graduate;Divorced;$80K - $120K;Blue;29961;789;0.026
316;39;M;Unknown;Divorced;$80K - $120K;Blue;3766;1049;0.279
317;42;M;High School;Divorced;$80K - $120K;Blue;27310;0;0
318;39;M;College;Divorced;$80K - $120K;Blue;12464;0;0
319;45;M;College;Divorced;$80K - $120K;Blue;34516;0;0
320;49;M;High School;Divorced;$80K - $120K;Blue;32338;1664;0.051
321;29;M;Unknown;Divorced;$80K - $120K;Blue;3544;0;0
322;30;M;Graduate;Divorced;$80K - $120K;Blue;26783;1285;0.048
323;41;M;Graduate;Divorced;$80K - $120K;Blue;19412;770;0.04
324;55;M;Uneducated;Divorced;$80K - $120K;Blue;34516;2408;0.07
325;37;M;Uneducated;Divorced;$80K - $120K;Blue;2281;1677;0.735
326;47;M;Unknown;Divorced;$80K - $120K;Silver;34516;802;0.023
327;41;M;Uneducated;Divorced;$80K - $120K;Blue;30030;2028;0.068
328;48;M;Graduate;Divorced;$80K - $120K;Blue;24446;1854;0.076
329;55;M;College;Divorced;$80K - $120K;Blue;34173;1194;0.035
330;38;M;Unknown;Divorced;$80K - $120K;Blue;11777;1781;0.151
331;38;M;Graduate;Divorced;$80K - $120K;Blue;14821;0;0
332;41;M;Uneducated;Divorced;$80K - $120K;Gold;34516;0;0
333;36;M;Uneducated;Divorced;$80K - $120K;Blue;34516;774;0.022
334;46;M;High School;Divorced;$80K - $120K;Blue;16099;0;0
335;48;M;Graduate;Divorced;$80K - $120K;Blue;6383;1436;0.225
336;42;M;Graduate;Divorced;$80K - $120K;Blue;6779;1359;0.2
337;47;M;Unknown;Divorced;$80K - $120K;Blue;18432;1422;0.077
338;41;M;Unknown;Divorced;$80K - $120K;Blue;30733;1153;0.038
339;51;M;Uneducated;Divorced;$80K - $120K;Blue;34516;0;0
340;45;M;High School;Divorced;$80K - $120K;Blue;18410;974;0.053
341;44;M;Uneducated;Divorced;$80K - $120K;Blue;17846;1568;0.088
342;42;M;Graduate;Divorced;$80K - $120K;Blue;18274;1623;0.089
343;40;M;Uneducated;Divorced;$80K - $120K;Blue;11721;1175;0.1
344;44;M;Doctorate;Divorced;$80K - $120K;Blue;7150;1887;0.264
345;44;M;College;Divorced;$80K - $120K;Silver;34516;2361;0.068
346;49;M;High School;Divorced;$80K - $120K;Blue;34516;2517;0.073
347;43;M;Graduate;Divorced;$80K - $120K;Blue;5506;2129;0.387
348;47;M;Unknown;Divorced;$80K - $120K;Blue;8757;0;0
349;57;M;Graduate;Divorced;$80K - $120K;Silver;34516;1384;0.04
350;49;M;Uneducated;Divorced;$80K - $120K;Blue;28390;1141;0.04
351;46;M;Doctorate;Divorced;$80K - $120K;Blue;8258;1771;0.214
352;40;M;Graduate;Divorced;$80K - $120K;Blue;27374;1509;0.055
353;43;M;High School;Divorced;$80K - $120K;Blue;34516;1048;0.03
354;43;M;Graduate;Divorced;$80K - $120K;Blue;19188;1622;0.085
355;47;M;Graduate;Divorced;$80K - $120K;Blue;16741;1225;0.073
356;51;M;Unknown;Divorced;$80K - $120K;Blue;21382;1692;0.079
357;47;M;Graduate;Divorced;$80K - $120K;Blue;4586;0;0
358;40;M;Uneducated;Divorced;$80K - $120K;Blue;30997;2330;0.075
359;43;M;Unknown;Divorced;$80K - $120K;Blue;13625;0;0
360;55;M;High School;Divorced;$80K - $120K;Blue;19793;2488;0.126
361;43;M;Uneducated;Divorced;$80K - $120K;Blue;1452;0;0
362;50;M;High School;Divorced;$80K - $120K;Blue;1687;992;0.588
363;48;M;Uneducated;Divorced;$80K - $120K;Gold;34516;1426;0.041
364;41;M;High School;Divorced;$80K - $120K;Blue;1636;986;0.603
365;46;M;Graduate;Divorced;$80K - $120K;Blue;3210;2081;0.648
366;44;M;High School;Divorced;$80K - $120K;Blue;5293;1236;0.234
367;52;M;Unknown;Divorced;$80K - $120K;Blue;5763;0;0
368;45;M;College;Divorced;$80K - $120K;Blue;1535;0;0
369;46;M;Doctorate;Divorced;$80K - $120K;Blue;9949;0;0
370;40;M;College;Divorced;$80K - $120K;Blue;16050;0;0
371;47;M;Doctorate;Divorced;$80K - $120K;Blue;1438.3;0;0
372;57;M;Uneducated;Divorced;$80K - $120K;Blue;2795;1832;0.655
373;47;M;College;Divorced;$80K - $120K;Blue;5295;723;0.137
374;42;M;High School;Divorced;$80K - $120K;Blue;11946;1172;0.098
375;47;M;Uneducated;Divorced;$80K - $120K;Blue;1626;1013;0.623
376;45;M;Uneducated;Divorced;$80K - $120K;Blue;6614;1881;0.284
377;40;M;College;Divorced;$80K - $120K;Silver;34516;2052;0.059
378;56;M;High School;Divorced;$80K - $120K;Blue;8111;2051;0.253
379;43;M;College;Divorced;$80K - $120K;Blue;7278;0;0
380;60;M;High School;Divorced;$80K - $120K;Blue;28930;0;0
