CLIENTNUM;Customer_Age;Gender;Education_Level;Marital_Status;Income_Category;Card_Category;Credit_Limit;Total_Revolving_Bal;Avg_Utilization_Ratio,;;;;;;;;;;
758551608;51;M;Unknown;Married;$40K - $60K;Blue;6205;2204;0.355,;;;;;;;;;;
773146383;50;F;College;Single;$40K - $60K;Silver;17304;2517;0.145,;;;;;;;;;;
778493808;49;M;High School;Married;$60K - $80K;Blue;3906;0;0,;;;;;;;;;;
720572508;38;F;Graduate;Single;Unknown;Blue;9830;2055;0.209,;;;;;;;;;;
712661433;49;M;Uneducated;Single;$80K - $120K;Blue;34516;0;0,;;;;;;;;;;
789172683;56;M;Doctorate;Married;$60K - $80K;Blue;2283;1430;0.626,;;;;;;;;;;
738406533;59;M;Doctorate;Married;$40K - $60K;Blue;2548;2020;0.793,;;;;;;;;;;
799723908;46;M;High School;Married;$80K - $120K;Blue;19458;1435;0.074,;;;;;;;;;;
771490833;52;M;College;Single;$80K - $120K;Blue;4745;1227;0.259,;;;;;;;;;;
720756708;52;F;Unknown;Married;Less than $40K;Blue;2622;1549;0.591,;;;;;;;;;;
779471883;54;F;Graduate;Married;Less than $40K;Blue;1438.3;808;0.562,;;;;;;;;;;
711525033;66;F;High School;Married;Less than $40K;Blue;3171;2179;0.687,;;;;;;;;;;
712813458;49;M;Unknown;Married;$120K +;Blue;19763;2517;0.127,;;;;;;;;;;
714374133;56;M;Graduate;Married;$120K +;Blue;15769;0;0,;;;;;;;;;;
717891558;49;F;Graduate;Unknown;Less than $40K;Blue;3298;2200;0.667,;;;;;;;;;;
716632758;49;F;Graduate;Single;Less than $40K;Blue;2802;2363;0.843,;;;;;;;;;;
768563658;56;M;Uneducated;Married;$40K - $60K;Blue;4458;1880;0.422,;;;;;;;;;;
711427458;44;F;Graduate;Married;Unknown;Blue;6273;978;0.156,;;;;;;;;;;
714091983;42;M;High School;Single;$60K - $80K;Blue;3336;1753;0.525,;;;;;;;;;;
787584108;55;M;Unknown;Married;$80K - $120K;Blue;3436;2016;0.587,;;;;;;;;;;
712030833;48;M;Graduate;Married;$60K - $80K;Silver;34516;0;0,;;;;;;;;;;
711481533;39;M;High School;Divorced;$60K - $80K;Blue;5926;1251;0.211,;;;;;;;;;;
710082708;44;M;Post-Graduate;Single;$120K +;Blue;23957;2102;0.088,;;;;;;;;;;
708155733;53;M;High School;Single;$120K +;Blue;14734;1634;0.111,;;;;;;;;;;
788979258;51;M;Uneducated;Single;$80K - $120K;Silver;34516;1515;0.044,;;;;;;;;;;
807986133;57;M;College;Married;$60K - $80K;Blue;6584;1817;0.276,;;;;;;;;;;
788730933;44;F;Uneducated;Single;Less than $40K;Blue;2084;1468;0.704,;;;;;;;;;;
711314058;49;M;Graduate;Married;$60K - $80K;Blue;1687;1107;0.656,;;;;;;;;;;
717975333;50;M;Doctorate;Married;$80K - $120K;Blue;25300;1330;0.053,;;;;;;;;;;
715971108;51;M;Graduate;Single;$120K +;Blue;34516;1763;0.051,;;;;;;;;;;
720096558;55;F;Graduate;Married;Less than $40K;Blue;2216;1034;0.467,;;;;;;;;;;
719580033;54;M;Graduate;Unknown;$60K - $80K;Blue;2910;2030;0.698,;;;;;;;;;;
820582308;42;M;Uneducated;Married;$80K - $120K;Blue;22913;1528;0.067,;;;;;;;;;;
789973308;44;M;College;Single;$60K - $80K;Blue;24312;1932;0.079,;;;;;;;;;;
712876233;53;M;Graduate;Single;$80K - $120K;Blue;5272;1515;0.287,;;;;;;;;;;
804595158;44;F;Graduate;Single;Less than $40K;Blue;7000;2517;0.36,;;;;;;;;;;
714826758;37;F;Uneducated;Single;Less than $40K;Blue;7038;1801;0.256,;;;;;;;;;;
779058108;49;M;Graduate;Divorced;$60K - $80K;Blue;2536;1823;0.719,;;;;;;;;;;
710790258;47;M;Graduate;Married;$80K - $120K;Blue;28904;1899;0.066,;;;;;;;;;;
715623483;47;M;Graduate;Married;$60K - $80K;Blue;8567;1695;0.198,;;;;;;;;;;
715156383;44;M;Unknown;Unknown;$120K +;Blue;34516;1533;0.044,;;;;;;;;;;
711013983;55;F;Unknown;Married;$40K - $60K;Blue;2158;0;0,;;;;;;;;;;
755420433;59;F;Graduate;Married;Unknown;Blue;10133;1417;0.14,;;;;;;;;;;
794543958;53;M;Graduate;Divorced;$80K - $120K;Blue;34516;1219;0.035,;;;;;;;;;;
716396358;52;M;Graduate;Married;$60K - $80K;Blue;3085;1910;0.619,;;;;;;;;;;
715398033;53;M;High School;Single;$120K +;Blue;19040;2056;0.108,;;;;;;;;;;
711743883;43;F;Uneducated;Single;Less than $40K;Blue;4026;0;0,;;;;;;;;;;
719720058;44;M;High School;Single;$60K - $80K;Blue;12756;837;0.066,;;;;;;;;;;
778992108;57;M;Unknown;Married;$120K +;Blue;5266;0;0,;;;;;;;;;;
717539808;51;F;High School;Single;Less than $40K;Blue;9930;0;0,;;;;;;;;;;
714070758;49;M;High School;Single;$80K - $120K;Blue;31302;1953;0.062,;;;;;;;;;;
714107958;45;M;Graduate;Single;$40K - $60K;Blue;6576;0;0,;;;;;;;;;;
789140283;53;M;Graduate;Single;$80K - $120K;Blue;2664;2037;0.765,;;;;;;;;;;
715550508;45;F;Unknown;Married;Unknown;Blue;2535;2440;0.963,;;;;;;;;;;
719712633;64;M;Graduate;Married;Less than $40K;Blue;1709;895;0.524,;;;;;;;;;;
772629333;45;M;Graduate;Married;$40K - $60K;Blue;3454;1200;0.347,;;;;;;;;;;
720336708;53;M;Doctorate;Married;$40K - $60K;Blue;3789;1706;0.45,;;;;;;;;;;
802013583;56;M;College;Married;$120K +;Blue;9689;2250;0.232,;;;;;;;;;;
711887583;47;M;Unknown;Married;$80K - $120K;Blue;5449;1628;0.299,;;;;;;;;;;
714778833;49;F;College;Single;Unknown;Blue;23032;1960;0.085,;;;;;;;;;;
713843283;41;F;Unknown;Married;Unknown;Silver;34516;2053;0.059,;;;;;;;;;;
779155158;53;M;Graduate;Married;$120K +;Blue;2940;1264;0.43,;;;;;;;;;;
721091583;44;F;Graduate;Single;Less than $40K;Blue;3031;1879;0.62,;;;;;;;;;;
713572683;44;M;High School;Unknown;$60K - $80K;Blue;1862;0;0,;;;;;;;;;;
716657058;43;F;Post-Graduate;Married;Less than $40K;Blue;8358;926;0.111,;;;;;;;;;;
779509983;53;M;Post-Graduate;Single;$120K +;Blue;34516;931;0.027,;;;;;;;;;;
717929133;44;M;Uneducated;Married;$60K - $80K;Blue;14450;2440;0.169,;;;;;;;;;;
808284783;62;F;Unknown;Married;Less than $40K;Blue;1438.3;0;0,;;;;;;;;;;
708476808;54;M;Unknown;Divorced;$120K +;Blue;33791;1960;0.058,;;;;;;;;;;
710916408;57;M;Graduate;Married;$60K - $80K;Blue;8466;1886;0.223,;;;;;;;;;;
708492558;42;M;Unknown;Married;$60K - $80K;Blue;15088;865;0.057,;;;;;;;;;;
799825758;42;M;High School;Divorced;$60K - $80K;Blue;3263;1674;0.513,;;;;;;;;;;
718619883;54;F;Uneducated;Married;Less than $40K;Blue;1494;706;0.473,;;;;;;;;;;
711844758;48;M;Graduate;Single;$80K - $120K;Blue;13551;1294;0.095,;;;;;;;;;;
714798783;49;M;Graduate;Single;$80K - $120K;Blue;18886;895;0.047,;;;;;;;;;;
826762908;52;M;High School;Unknown;$80K - $120K;Blue;11976;1273;0.106,;;;;;;;;;;
771894558;50;M;High School;Single;$80K - $120K;Blue;9964;1559;0.156,;;;;;;;;;;
721074183;49;M;Doctorate;Married;$60K - $80K;Blue;24159;1196;0.05,;;;;;;;;;;
715259583;53;F;High School;Married;Less than $40K;Blue;5362;1901;0.355,;;;;;;;;;;
718414008;50;M;Graduate;Single;$120K +;Blue;34516;1023;0.03,;;;;;;;;;;
719666283;55;F;Doctorate;Married;Less than $40K;Blue;3174;1951;0.615,;;;;;;;;;;
714877233;53;M;High School;Married;$80K - $120K;Blue;12262;1836;0.15,;;;;;;;;;;
785387883;47;F;High School;Single;$40K - $60K;Blue;3788;1540;0.407,;;;;;;;;;;
771075258;55;M;College;Single;$120K +;Silver;34516;1527;0.044,;;;;;;;;;;
711318033;47;M;Graduate;Single;$60K - $80K;Blue;2926;0;0,;;;;;;;;;;
783554958;58;M;Graduate;Single;$120K +;Blue;32090;0;0,;;;;;;;;;;
720201033;53;M;Graduate;Married;$80K - $120K;Blue;11669;2227;0.191,;;;;;;;;;;
718039683;52;M;High School;Single;$40K - $60K;Blue;13532;1300;0.096,;;;;;;;;;;
710806083;50;F;Uneducated;Unknown;Less than $40K;Silver;11888;2090;0.176,;;;;;;;;;;
714752208;42;F;Graduate;Married;Less than $40K;Blue;2393;1985;0.83,;;;;;;;;;;
822063408;43;M;Unknown;Married;$40K - $60K;Blue;6111;2517;0.412,;;;;;;;;;;
714490308;57;M;Graduate;Married;$80K - $120K;Blue;19270;1662;0.086,;;;;;;;;;;
713356833;52;M;Graduate;Married;$80K - $120K;Blue;3710;2517;0.678,;;;;;;;;;;
711402333;47;M;Doctorate;Single;Less than $40K;Blue;3235;797;0.246,;;;;;;;;;;
708296883;44;F;Graduate;Single;$40K - $60K;Blue;11749;788;0.067,;;;;;;;;;;
719154483;53;M;High School;Divorced;$60K - $80K;Blue;7753;2100;0.271,;;;;;;;;;;
717721458;45;M;College;Divorced;$60K - $80K;Blue;10408;1186;0.114,;;;;;;;;;;
711112683;63;F;College;Married;Unknown;Blue;3967;1568;0.395,;;;;;;;;;;
715674483;39;F;Post-Graduate;Single;Less than $40K;Blue;6205;2517;0.406,;;;;;;;;;;
789322833;48;F;High School;Married;Less than $40K;Blue;8025;0;0,;;;;;;;;;;
789968058;51;M;Unknown;Single;$120K +;Blue;9036;2327;0.258,;;;;;;;;;;
709919283;54;M;Graduate;Married;$80K - $120K;Blue;14926;2517;0.169,;;;;;;;;;;
718744008;59;F;Graduate;Single;Less than $40K;Blue;6335;1128;0.178,;;;;;;;;;;
767712558;59;M;College;Single;$60K - $80K;Blue;14979;0;0,;;;;;;;;;;
712950783;48;F;Uneducated;Married;Less than $40K;Blue;2732;0;0,;;;;;;;;;;
716104983;41;F;Graduate;Single;Less than $40K;Blue;2250;2117;0.941,;;;;;;;;;;
818839983;55;M;Graduate;Married;$120K +;Blue;10916;1536;0.141,;;;;;;;;;;
772288758;47;F;Graduate;Married;Unknown;Blue;5349;1228;0.23,;;;;;;;;;;
712350858;41;M;High School;Married;$80K - $120K;Blue;9366;1104;0.118,;;;;;;;;;;
711009708;40;M;High School;Single;$80K - $120K;Blue;21617;0;0,;;;;;;;;;;
712720158;68;M;Graduate;Married;Unknown;Blue;13860;1652;0.119,;;;;;;;;;;
712215258;50;F;Graduate;Single;$40K - $60K;Silver;18386;0;0,;;;;;;;;;;
773827008;47;M;Uneducated;Single;$60K - $80K;Blue;2405;1540;0.64,;;;;;;;;;;
795232683;53;F;College;Married;Less than $40K;Blue;2154;930;0.432,;;;;;;;;;;
713786508;42;F;Unknown;Married;$40K - $60K;Blue;2038;0;0,;;;;;;;;;;
713539833;48;F;High School;Single;$40K - $60K;Blue;8135;0;0,;;;;;;;;;;
712454058;49;M;Doctorate;Married;$120K +;Blue;9364;618;0.066,;;;;;;;;;;
718759833;44;F;Uneducated;Married;Unknown;Silver;32643;0;0,;;;;;;;;;;
718803333;43;F;Graduate;Divorced;Less than $40K;Blue;3195;1954;0.612,;;;;;;;;;;
720253908;56;M;High School;Married;$80K - $120K;Blue;2852;1024;0.359,;;;;;;;;;;
714133158;59;F;College;Single;Unknown;Blue;4224;1305;0.309,;;;;;;;;;;
713187033;46;M;Uneducated;Married;$60K - $80K;Blue;20459;2071;0.101,;;;;;;;;;;
714791208;47;F;Unknown;Divorced;Less than $40K;Blue;3482;2114;0.607,;;;;;;;;;;
772426383;50;F;Uneducated;Married;$40K - $60K;Blue;3065;1570;0.512,;;;;;;;;;;
710975883;51;F;Uneducated;Married;Less than $40K;Blue;2185;1761;0.806,;;;;;;;;;;
714264408;47;F;Uneducated;Married;Less than $40K;Blue;1611;746;0.463,;;;;;;;;;;
715827858;58;F;Uneducated;Married;Less than $40K;Blue;2822;2173;0.77,;;;;;;;;;;
713741358;46;M;Graduate;Single;$80K - $120K;Blue;32975;2517;0.076,;;;;;;;;;;
709531908;53;M;High School;Married;$60K - $80K;Blue;1438.3;0;0,;;;;;;;;;;
716493408;45;F;Uneducated;Divorced;Unknown;Blue;15875;1719;0.108,;;;;;;;;;;
714141108;52;F;High School;Married;Less than $40K;Blue;6703;893;0.133,;;;;;;;;;;
708953883;53;M;Unknown;Married;$80K - $120K;Blue;3212;0;0,;;;;;;;;;;
712608783;50;M;High School;Married;$80K - $120K;Silver;34516;1260;0.037,;;;;;;;;;;
820353558;41;F;High School;Married;$40K - $60K;Blue;9797;1434;0.146,;;;;;;;;;;
714964758;45;F;Graduate;Divorced;$40K - $60K;Blue;10400;1777;0.171,;;;;;;;;;;
716264358;53;M;Uneducated;Married;$80K - $120K;Blue;26792;1836;0.069,;;;;;;;;;;
717296808;67;F;Graduate;Married;Less than $40K;Blue;3006;2517;0.837,;;;;;;;;;;
712977183;57;F;Uneducated;Single;$40K - $60K;Silver;19482;1072;0.055,;;;;;;;;;;
710829108;59;F;Uneducated;Married;$40K - $60K;Blue;3356;985;0.294,;;;;;;;;;;
779562633;45;M;Uneducated;Married;$40K - $60K;Blue;5771;2248;0.39,;;;;;;;;;;
715315833;51;M;Graduate;Married;$80K - $120K;Blue;11106;2107;0.19,;;;;;;;;;;
815500983;59;F;Uneducated;Married;Less than $40K;Blue;2890;2001;0.692,;;;;;;;;;;
719360583;53;M;Graduate;Married;$60K - $80K;Blue;3380;1701;0.503,;;;;;;;;;;
709701558;47;M;Graduate;Married;$60K - $80K;Blue;21331;1251;0.059,;;;;;;;;;;
721148358;49;F;Uneducated;Single;Unknown;Blue;12860;0;0,;;;;;;;;;;
779862408;49;M;Post-Graduate;Single;$80K - $120K;Blue;6278;462;0.074,;;;;;;;;;;
812627208;60;F;College;Single;Less than $40K;Blue;1438.3;738;0.513,;;;;;;;;;;
711033408;50;F;High School;Married;Less than $40K;Blue;9355;1626;0.174,;;;;;;;;;;
779956608;41;F;Post-Graduate;Married;Unknown;Blue;20758;0;0,;;;;;;;;;;
780376683;57;M;Graduate;Married;$80K - $120K;Blue;14612;1976;0.135,;;;;;;;;;;
717912483;43;M;Graduate;Unknown;$80K - $120K;Blue;27259;0;0,;;;;;;;;;;
714454758;57;F;Graduate;Married;Less than $40K;Blue;6347;1594;0.251,;;;;;;;;;;
780466533;54;M;Doctorate;Married;$120K +;Blue;21592;1676;0.078,;;;;;;;;;;
715735233;51;F;Post-Graduate;Married;Less than $40K;Blue;3449;1598;0.463,;;;;;;;;;;
720476733;47;F;High School;Married;Less than $40K;Blue;6028;799;0.133,;;;;;;;;;;
715872333;41;M;High School;Unknown;$120K +;Blue;18214;1998;0.11,;;;;;;;;;;
712375758;53;M;Uneducated;Married;$80K - $120K;Blue;16393;1423;0.087,;;;;;;;;;;
708868233;68;M;High School;Married;Less than $40K;Blue;1438.3;900;0.626,;;;;;;;;;;
718030083;59;M;College;Married;$60K - $80K;Blue;7871;1687;0.214,;;;;;;;;;;
720707283;48;M;Unknown;Married;$80K - $120K;Blue;5288;866;0.164,;;;;;;;;;;
771698658;44;M;Graduate;Married;$60K - $80K;Blue;11376;2006;0.176,;;;;;;;;;;
748326258;48;M;College;Married;$80K - $120K;Blue;12302;1632;0.133,;;;;;;;;;;
770817783;47;M;Graduate;Married;$60K - $80K;Silver;34516;1679;0.049,;;;;;;;;;;
779353083;47;M;Graduate;Married;$60K - $80K;Silver;34516;1468;0.043,;;;;;;;;;;
711441333;43;F;High School;Divorced;Less than $40K;Silver;10514;1580;0.15,;;;;;;;;;;
719808558;55;F;Graduate;Married;Less than $40K;Blue;1438.3;0;0,;;;;;;;;;;
711551958;59;M;Post-Graduate;Married;$60K - $80K;Blue;1438.3;0;0,;;;;;;;;;;
809164083;63;M;Graduate;Married;$40K - $60K;Blue;2619;1779;0.679,;;;;;;;;;;
820596183;58;M;College;Married;$120K +;Blue;24407;2395;0.098,;;;;;;;;;;
715999608;53;F;High School;Married;Less than $40K;Blue;2377;1649;0.694,;;;;;;;;;;
710565408;59;M;Unknown;Unknown;$80K - $120K;Silver;34516;1359;0.039,;;;;;;;;;;
805543158;52;M;Graduate;Married;$120K +;Blue;11086;2207;0.199,;;;;;;;;;;
709752183;48;M;High School;Single;$60K - $80K;Blue;11432;2517;0.22,;;;;;;;;;;
716479233;43;M;High School;Married;$40K - $60K;Blue;13258;1721;0.13,;;;;;;;;;;
713837058;48;M;College;Single;Less than $40K;Blue;2571;1955;0.76,;;;;;;;;;;
718876683;43;F;Graduate;Single;Less than $40K;Blue;5781;1168;0.202,;;;;;;;;;;
770746908;44;M;Unknown;Married;$60K - $80K;Blue;7872;2509;0.319,;;;;;;;;;;
794843883;41;M;High School;Married;$80K - $120K;Blue;34516;1202;0.035,;;;;;;;;;;
803043933;44;F;Uneducated;Divorced;Less than $40K;Silver;11127;1835;0.165,;;;;;;;;;;
758076408;50;M;Unknown;Single;$40K - $60K;Blue;1857;1603;0.863,;;;;;;;;;;
714606558;60;F;Uneducated;Married;Less than $40K;Blue;1913;1272;0.665,;;;;;;;;;;
778425408;44;M;Graduate;Single;$80K - $120K;Blue;3839;2295;0.598,;;;;;;;;;;
714171108;48;F;Graduate;Divorced;$40K - $60K;Blue;2115;1141;0.539,;;;;;;;;;;
719662458;44;F;Graduate;Divorced;Less than $40K;Blue;1438.3;679;0.472,;;;;;;;;;;
713137233;41;M;High School;Single;$80K - $120K;Blue;27756;1789;0.064,;;;;;;;;;;
769425858;45;M;College;Single;$60K - $80K;Blue;1438.3;0;0,;;;;;;;;;;
711297483;47;F;Uneducated;Divorced;Less than $40K;Silver;13878;2222;0.16,;;;;;;;;;;
788900883;51;F;Graduate;Married;Less than $40K;Blue;3106;1304;0.42,;;;;;;;;;;
758348808;51;M;Graduate;Married;$120K +;Blue;34516;1666;0.048,;;;;;;;;;;
772336458;60;F;Uneducated;Married;$40K - $60K;Blue;1438.3;1025;0.713,;;;;;;;;;;
708711483;57;M;Unknown;Married;$80K - $120K;Blue;18871;1740;0.092,;;;;;;;;;;
717906783;41;M;Graduate;Single;$120K +;Blue;5207;1748;0.336,;;;;;;;;;;
719437908;44;M;Post-Graduate;Divorced;$80K - $120K;Blue;17965;1644;0.092,;;;;;;;;;;
769433508;43;M;College;Single;$60K - $80K;Blue;2733;1819;0.666,;;;;;;;;;;
790096533;55;M;College;Married;$60K - $80K;Blue;8863;1301;0.147,;;;;;;;;;;
720997383;52;M;Uneducated;Married;$80K - $120K;Blue;1857;1833;0.987,;;;;;;;;;;
787541883;44;M;Graduate;Unknown;$80K - $120K;Blue;34516;0;0,;;;;;;;;;;
709930758;41;M;Uneducated;Married;$40K - $60K;Blue;11107;1222;0.11,;;;;;;;;;;
789830058;44;M;Unknown;Single;$80K - $120K;Blue;21573;1585;0.073,;;;;;;;;;;
710299608;53;F;Unknown;Married;Less than $40K;Blue;2859;2517;0.88,;;;;;;;;;;
710741208;39;M;High School;Single;$80K - $120K;Blue;5269;1475;0.28,;;;;;;;;;;
821797008;49;M;College;Married;$40K - $60K;Blue;1438.3;0;0,;;;;;;;;;;
708874533;45;F;College;Married;Less than $40K;Blue;3387;0;0,;;;;;;;;;;
715341858;54;M;Graduate;Married;$80K - $120K;Blue;1982;1289;0.65,;;;;;;;;;;
793636308;49;M;Uneducated;Single;$80K - $120K;Blue;4645;1650;0.355,;;;;;;;;;;
713779908;46;F;Doctorate;Single;Unknown;Blue;2189;1666;0.761,;;;;;;;;;;
712125258;46;M;High School;Married;$120K +;Blue;2442;0;0,;;;;;;;;;;
709703433;47;M;Graduate;Married;$60K - $80K;Blue;21304;1532;0.072,;;;;;;;;;;
721022433;44;M;Doctorate;Single;$60K - $80K;Blue;7577;2480;0.327,;;;;;;;;;;
710103558;50;M;Post-Graduate;Single;$120K +;Blue;3234;1486;0.459,;;;;;;;;;;
715952883;73;M;High School;Married;$40K - $60K;Blue;4469;1125;0.252,;;;;;;;;;;
719731458;56;M;Unknown;Unknown;$40K - $60K;Blue;2910;709;0.244,;;;;;;;;;;
772390908;59;M;High School;Single;$40K - $60K;Blue;3616;1054;0.291,;;;;;;;;;;
787348608;70;M;High School;Married;Less than $40K;Blue;3252;1495;0.46,;;;;;;;;;;
709485033;55;F;High School;Married;Less than $40K;Blue;2358;1152;0.489,;;;;;;;;;;
715432608;43;M;Unknown;Single;$60K - $80K;Blue;22322;953;0.043,;;;;;;;;;;
799471833;45;M;Uneducated;Single;$120K +;Blue;3133;1510;0.482,;;;;;;;;;;
714187533;45;F;Uneducated;Single;$40K - $60K;Blue;3540;849;0.24,;;;;;;;;;;
779656908;40;M;Graduate;Married;$40K - $60K;Blue;6990;1378;0.197,;;;;;;;;;;
788950158;36;M;College;Unknown;$80K - $120K;Blue;34516;1652;0.048,;;;;;;;;;;
778867533;59;F;Post-Graduate;Married;$40K - $60K;Blue;1438.3;0;0,;;;;;;;;;;
710620383;43;M;Unknown;Married;$60K - $80K;Blue;24396;1171;0.048,;;;;;;;;;;
778661358;46;F;Unknown;Married;Less than $40K;Blue;2474;2143;0.866,;;;;;;;;;;
789483333;41;M;Uneducated;Married;$40K - $60K;Blue;5214;795;0.152,;;;;;;;;;;
809855808;51;F;Graduate;Married;Less than $40K;Blue;5207;1650;0.317,;;;;;;;;;;
718464258;51;F;Unknown;Unknown;Less than $40K;Blue;9512;1082;0.114,;;;;;;;;;;
708528483;43;F;Graduate;Divorced;Unknown;Blue;3187;2430;0.762,;;;;;;;;;;
771809733;64;F;High School;Married;$40K - $60K;Blue;3353;0;0,;;;;;;;;;;
719942883;54;M;Graduate;Married;$60K - $80K;Blue;2290;1434;0.626,;;;;;;;;;;
807226683;48;M;Unknown;Single;$40K - $60K;Blue;5279;1115;0.211,;;;;;;;;;;
717806133;40;M;Uneducated;Divorced;$60K - $80K;Blue;23603;0;0,;;;;;;;;;;
720615708;57;M;Uneducated;Married;$40K - $60K;Blue;2601;0;0,;;;;;;;;;;
714511758;45;M;Graduate;Single;$80K - $120K;Blue;6363;1029;0.162,;;;;;;;;;;
715050408;41;M;High School;Single;$80K - $120K;Blue;8029;1576;0.196,;;;;;;;;;;
721132233;42;F;Uneducated;Married;Less than $40K;Blue;2410;1769;0.734,;;;;;;;;;;
719211558;45;M;Graduate;Single;$60K - $80K;Blue;3401;0;0,;;;;;;;;;;
712069008;42;F;Uneducated;Married;Less than $40K;Blue;2260;1007;0.446,;;;;;;;;;;
715996983;47;M;Uneducated;Divorced;$80K - $120K;Blue;17682;2481;0.14,;;;;;;;;;;
773466258;48;F;High School;Married;$40K - $60K;Blue;4206;1100;0.262,;;;;;;;;;;
798983508;43;M;Graduate;Single;$80K - $120K;Silver;34516;1440;0.042,;;;;;;;;;;
719117433;41;M;High School;Unknown;$80K - $120K;Blue;23018;2168;0.094,;;;;;;;;;;
716451183;54;F;Uneducated;Married;$40K - $60K;Blue;5556;1711;0.308,;;;;;;;;;;
718621608;54;F;High School;Married;Unknown;Blue;6094;0;0,;;;;;;;;;;
715085733;61;M;Graduate;Married;$40K - $60K;Blue;2939;1999;0.68,;;;;;;;;;;
788977833;61;M;Uneducated;Married;$80K - $120K;Blue;5362;1274;0.238,;;;;;;;;;;
720272958;48;M;High School;Married;$120K +;Blue;27126;0;0,;;;;;;;;;;
708421833;45;F;Graduate;Single;Less than $40K;Blue;3342;2517;0.753,;;;;;;;;;;
709173108;54;F;Graduate;Married;Unknown;Blue;2532;2221;0.877,;;;;;;;;;;
709879458;54;F;Doctorate;Married;Unknown;Blue;1900;1376;0.724,;;;;;;;;;;
